"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	145957	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	145957	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	145957	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	152011	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	152011	Suppressed
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	152011	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	152364	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	152364	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	152364	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	158134	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	158134	Suppressed
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	158134	Suppressed
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	154529	Suppressed
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	Suppressed	154529	Suppressed
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	154529	Suppressed
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	159086	Suppressed
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	13	159086	Unreliable
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	159086	Suppressed
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	160699	Suppressed
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	10	160699	Unreliable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	160699	Suppressed
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	161393	Suppressed
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	15	161393	Unreliable
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	161393	Suppressed
	"Alabama"	"01"	"25-29 years"	"25-29"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	169504	Suppressed
	"Alabama"	"01"	"25-29 years"	"25-29"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	18	169504	Unreliable
	"Alabama"	"01"	"25-29 years"	"25-29"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	169504	Suppressed
	"Alabama"	"01"	"25-29 years"	"25-29"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	11	168634	Unreliable
	"Alabama"	"01"	"25-29 years"	"25-29"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	26	168634	15.418005859
	"Alabama"	"01"	"25-29 years"	"25-29"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	168634	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	Suppressed	157860	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	34	157860	21.538071709
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	10	157860	Unreliable
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	151231	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	54	151231	35.706964842
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	11	151231	Unreliable
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	11	156924	Unreliable
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	65	156924	41.421324973
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	Suppressed	156924	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	Suppressed	147221	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	90	147221	61.132582988
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	15	147221	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	18	149802	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	85	149802	56.741565533
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	13	149802	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	16	139359	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	169	139359	121.269526905
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	19	139359	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	21	159489	13.167052273
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	140	159489	87.780348488
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	30	159489	18.810074676
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	15	149462	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	287	149462	192.022052428
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	39	149462	26.093589006
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	30	158420	18.937002904
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	223	158420	140.765054917
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	81	158420	51.129907840
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	42	149245	28.141646286
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	400	149245	268.015678917
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	79	149245	52.933096586
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	39	174936	22.293867472
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	361	174936	206.361183519
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	146	174936	83.459093611
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	44	161384	27.264164973
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	671	161384	415.778515838
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	157	161384	97.283497744
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	89	169856	52.397324793
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	517	169856	304.375470987
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	229	169856	134.820082894
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	81	151491	53.468522882
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	882	151491	582.212804721
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	270	151491	178.228409608
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	116	148101	78.324926908
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	664	148101	448.342685060
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	312	148101	210.667044787
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	121	127347	95.015979960
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1118	127347	877.916244592
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	362	127347	284.262683848
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	203	122813	165.291947921
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	828	122813	674.195728465
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	419	122813	341.169094477
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	193	103186	187.040877638
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1178	103186	1141.627740197
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	436	103186	422.537941194
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	323	87733	368.162493019
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	956	87733	1089.669793578
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	439	87733	500.381840356
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	327	68081	480.310218710
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1198	68081	1759.668630014
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	494	68081	725.606263128
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	575	59818	961.249122338
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	1219	59818	2037.848139356
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	446	59818	745.594971413
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	350	41215	849.205386388
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1119	41215	2715.030935339
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	434	41215	1053.014679122
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	647	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	1400	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	360	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	344	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	1012	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	343	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	578	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	1240	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	253	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	188	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	707	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	187	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	291	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	591	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Diseases of the respiratory system"	"J00-J98"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Diseases of the nervous system"	"G00-G98"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Diseases of the circulatory system"	"I00-I99"	215	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Diseases of the respiratory system"	"J00-J98"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Female"	"F"	"Diseases of the nervous system"	"G00-G98"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Female"	"F"	"Diseases of the circulatory system"	"I00-I99"	136	Not Applicable	Not Applicable
