"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	27821	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	29080	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	116821	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	120635	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	10	298321	Unreliable
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	298321	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	298321	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	310145	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	310145	Suppressed
	"Alabama"	"01"	"5-14 years"	"5-14"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	310145	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	315228	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	315228	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	315228	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	320479	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	320479	Suppressed
	"Alabama"	"01"	"15-24 years"	"15-24"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	320479	Suppressed
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	28	327364	8.553170171
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	327364	Suppressed
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	327364	Suppressed
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	28	319865	8.753692964
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	13	319865	Unreliable
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	319865	Suppressed
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	92	306726	29.994196775
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	14	306726	Unreliable
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	306726	Suppressed
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	75	286580	26.170702771
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	31	286580	10.817223812
	"Alabama"	"01"	"35-44 years"	"35-44"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	13	286580	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	292	317909	91.850183543
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	46	317909	14.469549462
	"Alabama"	"01"	"45-54 years"	"45-54"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	18	317909	Unreliable
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	338	298707	113.154361967
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	64	298707	21.425678006
	"Alabama"	"01"	"45-54 years"	"45-54"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	34	298707	11.382391440
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	904	344792	262.187057704
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	95	344792	27.552843453
