"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	246	28712	856.8
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	251	28872	869.4
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	238	30131	789.9
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	243	29134	834.1
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	223	28339	786.9
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	194	29033	668.2
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	264	29212	903.7
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	236	29848	790.7
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	288	30948	930.6
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	263	31542	833.8
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	240	30462	787.9
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	237	29591	800.9
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2011"	"2011"	195	29058	671.1
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2012"	"2012"	248	29592	838.1
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2013"	"2013"	224	28555	784.5
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2014"	"2014"	227	28346	800.8
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	216	28422	760.0
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	242	28485	849.6
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	198	28297	699.7
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	167	27728	602.3
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	203	27821	729.7
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	162	27547	588.1
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	360	30075	1197.0
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	345	30229	1141.3
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	329	31406	1047.6
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	296	29829	992.3
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2003"	"2003"	296	29682	997.2
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2004"	"2004"	322	29894	1077.1
